File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Speaker_id,Age,Gender,Machine_Suggestion
,"Abavyêyi b'ábarùúndi bavuga bati: ""Nimutubwîre ikosá mwākozé ntaco tubagirá""
Twëse turâzi ibicá bíkurikira uhéjeje kuríbabwîra.","La phrase classique d'une maman burundaise : ""S'il te plaît, dis-nous la faute que tu as commise, on ne te fera rien."" En réalité, nous savons tous ce qui suit sans le dire.","A Burundian mom be like: ""Please tell us the mistake you made, we won't do anything to you."" We all know the hard and unspoken truth that follows.",jokes,,,,
,"Abavyêyi b'ábarùúndi mu kukúbwīra ikīntu, bakubwīra igihushâne câco.",Les mamans burundaises ont une manière unique de communiquer en disant le contraire.,Burundian parents have a unique way of communicating by stating the opposite.,jokes,,,,
,Abigeme bo mu Burundi ni abigeme b'akaranga,Les femmes du Burundi sont des femmes de coutume,The women of Burundi are women of custom,general,,,,
,"Abâna bó mw'ìíyi mìísi nabó baragōrana núkurí 
- Nyina wa Clara : Clara wātôye ikibázo ??
- Clara : Oyâye màá, ikibázo gitōra umwìígīsha","De nos jours, les enfants peuvent être débordants d'énergie.""
- La maman de Clara : ""Clara, as-tu rangé ta chambre ?""
- Clara : ""Non, Maman, j'attends que la chambre se nettoie toute seule. Après tout, c'est la chambre qui s'est salie, pas moi !""","Nowadays, kids can be a handful.
- Clara's mom: Clara, did you clean your room?
- Clara: No, Mom, I'm waiting for the room to clean itself. After all, it's the room that got messy, not me!",jokes,,,,
,"Abâna bùúbu basigaye bágōye núkurí 
- Nyina wa junior : Nōné wewé vy’úkurí, kugíra uhebé gukúbagana nzôgukozé ikí ??
- Junior : Umutsíma","De nos jours, gérer les enfants est un défi.
- La maman de Junior : ""Comment puis-je te faire te concentrer sur tes devoirs ?""
- Junior : ""Peut-être si tu les transformes en jeu vidéo, je prêterai enfin attention.""","Nowadays, dealing with kids is a challenge.
- Junior's mom: How can I get you to focus on your homework?
- Junior: Maybe if you turn it into a video game, I'll finally pay attention.",jokes,,,,
,"Abâna bùúbu nabó s’ukugōrana ngo basigáze 
- Nyina wa stecy : Stecy , kubêra ikí utārāvye mutôyá wāwe ??
- Stecy : Wambwīye nzé ndarāba ibìíndāba , narīndīye kó andàába ndabúra","De nos jours, les enfants sont vraiment agaçant.
- La maman de Stecy : ""Stecy, pourquoi n'as-tu pas veillé sur ta petite sœur ?""
- Stecy : ""Tu m'as dit de me concentrer uniquement sur ce qui me concerne, donc elle ne me concerne pas.""","Nowadays, kids are really annoying.
- Stecy's mom: ""Stecy, why didn't you watch out for your little sister?""
- Stecy: ""You told me to only focus on my business, so she is not my business.""",jokes,,,,
,"Abâna bùúbu ní hatàári
- Nyina wa Alain : Allo..aho urakényeye turāré dúhagaze túkurīndiriye
- Alain : Erega nàánje sínīcáye màá","De nos jours, les enfants peuvent être agaçants.""
La maman d'Alain : ""Allo... Tu t'attends à ce qu'on organise une fête, à rester éveillés pour toi à cette heure ? Rentre vite à la maison !""
Alain : ""Moi aussi, je ne dors pas, maman.""","Kids these days can be annoying.
Alain's mom: ""Hello... Do you expect us to throw a party, staying up for you at this hour? Come back home quickly!""
Alain: ""I'm not sleeping either, mom.""",jokes,,,,
,Abôro babiri ntíbasāngíra umwērēra.,Les âmes misérables ont du mal à partager un verre.,Miserable souls find it hard to share a drink.,proverbs,,,,
,Abāntu bagumá bátubaza igitúma tunywá inzogá nyìínshi.,Pour ceux qui se demandent pourquoi nous consommons beaucoup d'alcool,For those who keep asking why we consume a lot of alcohol,jokes,,,,
,Abāntu batērá inkurú ziryōshé mu midúga rúsàángi turabasavye muzôzé muravúga múnyarutsa kugíra tuzôzé turūruruka twûmvīse ahó vyāheréye.,"À ceux qui racontent des histoires étant dans les transports en commun, une suggestion : Soyez s'il vous plaît brefs, afin que nous puissions descendre peu de temps après la fin de l'histoire.","To those who share stories on public transportations, a friendly suggestion: Keep it brief, so we can disembark shortly after the tale concludes.",jokes,,,,
,Abāntu mu midúga rúsàángi yó mu Burùúndi baratāngāje núkurí.,Les gens dans les transports en commun au Burundi sont un peu particuliers. ,The folks in Burundian public transportation are a bit peculiar.,jokes,,,,
,"Abāntu munyìípfūriza inâbí nimubihagárike, kubêra murí iyi mìísi, mbona umênga murikó murīshurwa.","À ceux qui me souhaitent du mal, je vous prie gentiment de cesser, car il semble que ces jours-ci, vos prières sont entrain d'être exaucées.","To those wishing me harm, I kindly request you to cease because it seems that nowadays, your prayers are getting answered.",jokes,,,,
,"Abāntu muvugá ngo Kubêngwa níco kīntu cā mbere kibabáza, mwèé ntímūzi ububabáre bwó gusāngira n'ábāntu bafisé ibiyîko nàáwe ufíse ifúrushèéti.","Pour ceux qui disent que se faire larguer est la chose la plus douloureuse, vous ne connaissez pas la douleur de manger dans la même assiette que des gens qui ont des cuillères, et vous avec une fourchette.","For those who say that being dumped is the most painful thing, you guys don't know the pain of eating from the same plate with people who have spoons, and you, only have a fork.",jokes,,,,
,Abāntu n'íbīntu ní magiríranire.,"Chaque personne est une pièce du puzzle, complétant l'image ensemble.","Each person is a piece of the puzzle, completing the picture together.",proverbs,,,,
,Abāntu ní magiríranire.,Les gens sont faits pour se soutenir mutuellement.,People are made to support each other.,proverbs,,,,
,Abăkūndanye barânkana.,"L'amour peut se transformer en haine, et les amoureux peuvent se séparer.","Love can turn to hatred, and lovers may part ways.",proverbs,,,,
,Abămi basāngira ingovyi ntíbasāngíra ingoma.,"Dans le palais, les lits peuvent être partagés, mais pas le trône.","In the palace, beds may be shared, but not the throne.",proverbs,,,,
,Abό umwămi yahâye amáta ní bo bămwīmye amatwí.,"Méfiez-vous de ceux que le roi favorise, car ils peuvent se retourner contre lui.","Beware of those whom the king favors, for they may turn against him.",proverbs,,,,
,Aca atāngura kūnsaba akaruhūko k'ímìísi itatu.,Il m'a demandé trois jours de congé,They requested three days off,jokes,,,,
,"Aca aza kùúmbwīra kó yambuzé, hāma nca ndamufasha kūndōndera.","Il est venu me dire qu'il était entrain de me chercher , puis nous avons recommencé à me chercher.","He approached me to say he had been looking for me for a long time, only for us to start looking for me again.",jokes,,,,
,Agacerere karamfasha mugukora,Le silence m'aide à travailler.,Silence helps me work.,general,,,,
,Agacerere karampfasha gukora,Le silence m'aide à travailler.,Silence helps me work.,general,,,,
,Agacîwe karûma.,Une branche coupée devient sèche.,A cut branch becomes dry.,proverbs,,,,
,Agahemo gatēra ikijûjú ubwĭbone.,"Quand on se moque de lui, le sot pense qu'il est unique.","When people mock him, the fool thinks he's unique.",proverbs,,,,
,Agahîmbo kībagiza kwūgara.,Un estomac satisfait peut oublier de fermer la porte.,A satisfied stomach may forget to secure the door.,proverbs,,,,
,Agahīnda sí uguhόra uríra.,La douleur ne pleure pas toujours.,Pain is not always crying.,proverbs,,,,
,Agakuku karimīsha mu rwĭri.,Celui qui ne suit que la marée peut se perdre en mer.,The one who only follows the tide may get lost at sea.,proverbs,,,,
,Agakúrikiwe n'índa ntígakurá.,Une succession rapide de grossesses entrave une croissance appropriée.,Rapid succession of pregnancies hinders proper growth.,proverbs,,,,
,Agakúru ntígaku(rí)ra ubúsa.,"Quand une histoire voyage loin, il y a souvent une vérité ou un but à l'intérieur.","When a story travels far and wide, there's often truth or purpose inside.",proverbs,,,,
,Agakûnze babiri karabânkanīsha.,"Quand deux cœurs battent pour la même passion, l'amour peut se transformer en rivalité.","When two hearts beat for the same passion, love can turn into rivalry.",proverbs,,,,
,Agapfûye kaba gáheze.,"Après la mort, les vivants continuent, et les disparus sont oubliés.","After death, the living move on, and the departed are forgotten.",proverbs,,,,
,Agapfûye kabazwa ivú.,La voix d'un mort est rarement entendue.,A dead man's voice is seldom heard.,proverbs,,,,
,Agashâje gashira isóni.,"Avec les années, le filtre sur les mots s'affaiblit.","As years pass, the filter on words weakens.",proverbs,,,,
,Agashítsi kā kêra kavūmbika umuriro.,Un vieux bois peut allumer le feu.,An old wood can ignite the fire.,proverbs,,,,
,Agaswi katazôkúra ukērekwa n'úrwŭbi.,Les présages précoces offrent un aperçu du drame de l'adversité qui se déroule.,Early omens offer glimpses into the unfolding drama of adversity.,proverbs,,,,
,Agasózi k'întáhanûrwa kăhīye abagabo bábona.,Celui qui rejette les conseils se retrouve sans aide en temps de besoin.,One who rejects advice finds themselves without a helping hand in times of need.,proverbs,,,,
,Agatu gatēkéye amáhwa karîmena.,Une boule d'épines se piquera elle-même.,A ball of thorns will prick itself.,proverbs,,,,
,Agáti gaterétswe n'Îmâna ntígahenúrwa n'úmuyaga.,"Avec les bénédictions de Dieu, on reste inébranlable face à toutes les adversités.","With God's blessings, one stands unyielding against all odds.",proverbs,,,,
,Aha twotanga uturorero nko kubinyamakuru n’amaradiyo,Nous donnons ici des exemples tels que les journaux et les stations de radio,Here we give examples such as newspapers and radio stations,general,,,,
,Ahakíze hītwa inkóvu.,Une blessure qui guérit est toujours appelée une cicatrice.,A wound that heals is always called a scar.,proverbs,,,,
,Aharí abagabo ntíhagwá ibára.,"Là où il y a des hommes intègres, les conflits cessent d'exister.","Where there are men of integrity, conflicts cease to exist.",proverbs,,,,
,Aharí abântu hāma urūnturūntu.,"Là où il y a une foule, il y a des discussions.","Where there's a crowd, there's talk.",proverbs,,,,
,Aharí amahóro umuhoro uramwa.,"En temps de paix, les épées sont transformées en charrues.","In times of peace, swords are turned into plowshares.",proverbs,,,,
,Aharí umwěnge haca umuyaga.,"Là où il y a un trou, le vent trouvera son chemin.","Where there's a hole, the wind will find its way in.",proverbs,,,,
,Aho ního natânguriye kugira ibibázo vyó kwìízēra abāntu.,C'est exactement à ce moment-là que mes problèmes de confiance ont commencé.,That's precisely when my trust issues began.,jokes,,,,
,"Aho rero, Abarundi bohahombera cane",C'est là où les burundais perdaient,This is where the Burundians lost,general,,,,
,Aho ryàába arí iryā nyuma mbōnyé ayo maherá.,Je ne savais pas que c'était la dernière fois que je verrais cet argent.,"Little did I know, that was the last time I saw that money.",jokes,,,,
,Ahó bwămye ntíbuhavá.,Ce qui est vraiment à toi résistera à l'épreuve du temps.,That which is truly yours will stand the test of time.,proverbs,,,,
,Ahó imbwá ikubítiwe irahagaruka.,"Les insensés revisitent souvent leurs échecs, pensant qu'ils trouveront le succès.","The foolish often revisit their failures, thinking they will find success.",proverbs,,,,
,Ahó imbwá ikubítiwe ntíhasubíra.,La route des ennuis est à éviter après le premier voyage.,The road of trouble is best avoided after the first journey.,proverbs,,,,
,Ahó umugabo ahāndíwe ní ho yīhândūrira.,"Quand un homme est confronté à un problème, il agit rapidement, sans laisser de place à la procrastination.","When a man faces a problem, he acts promptly, leaving no room for delay.",proverbs,,,,
,Ahó umukěcuru atōyé uruhĭndu ahīta mu rugănda.,"Pour les naïfs, trouver une aiguille semble comme découvrir une mine de fer, ce qui conduit à des attentes de plus à venir.","To the naive, finding a needle seems like uncovering an iron mine, leading to expectations of more to come.",proverbs,,,,
,Ahó uvá ntíhakuváko.,Vos racines sont à jamais ancrées dans votre ville natale.,Your roots are forever embedded in your hometown.,proverbs,,,,
,Ahănse ubwâna hamera ubwănwa.,De petits glands poussent de grands chênes.,From little acorns grow mighty oaks.,proverbs,,,,
,Ahό birāyé sí ho vyīrírwa.,"Vous pourriez l'avoir aujourd'hui, mais tout perdre demain.","You might have it today, but you can lose it all tomorrow.",proverbs,,,,
,"Ahό umwôro yāníkiye ntíbwūmá (ntíryāká, ntírivá).",Les plans des malheureux sont voués à l'échec.,The plans of the unfortunate are doomed to fail.,proverbs,,,,
,Ahό vyīríwe sí ho birārá.,Les fortunes peuvent changer aussi rapidement que le vent.,Fortunes can shift as quickly as the wind.,proverbs,,,,
,Ak'í muhana kāza imvúra ihíse.,Un cœur guéri peut guérir les autres.,A healed heart can heal others.,proverbs,,,,
,Akabígira kábīzi (kábibona) karya imbóga kâritse.,"Opter pour un chemin que vous savez être mauvais, les conséquences vous ouvriront les yeux.","Opting for a path you know is wrong, consequences will open your eyes.",proverbs,,,,
,Akabônye umwé gapfa ubúsa.,Un seul témoin donne peu de poids à l'histoire.,A lone witness lends little weight to the tale.,proverbs,,,,
,Akabúra ntikáboneke ní nyina w'úmūntu.,Le départ d'une mère laisse un vide qui ne peut jamais être comblé.,A mother's departure leaves a void that can never be filled.,proverbs,,,,
,Akabāndo k'úbusâza gacībwa kare kakabīkwa kure.,Investissez dans votre santé et votre bien-être pour une vie paisible et heureuse à la vieillesse.,Invest in your health and well-being for a peaceful and happy life in old age.,proverbs,,,,
,Akadátētswé karōtswa.,"Si vous ne pouvez pas passer par la porte, passez par la fenêtre.","If you can't go through the door, go through the window.",proverbs,,,,
,Akagôye kōkerezwa akagôri.,"En cas de doute, parlez-en.","When in doubt, talk it out.",proverbs,,,,
,Akamenyēro kăyirāje mu mutégo.,"Se croyant malin, il est tombé dans le piège qu'il avait creusé.","Thinking himself sly, he fell into the pit he dug.",proverbs,,,,
,Akamása kazôcá inká kazivūkámwo.,"Les éléments qui peuvent nuire à un groupe proviennent souvent de l'intérieur, et non de forces externes.","The elements that can harm a group often arise from within, not from external forces.",proverbs,,,,
,Akaméze ku murīzo w'îmbwá gashirwa káwucīye.,Une petite blessure peut devenir une grave infection si elle n'est pas traitée.,A small wound can become a serious infection if not treated.,proverbs,,,,
,Akanyoni katagurútse ntíkamenyá iyó bwēzé.,L'oiseau qui n'explore jamais au-delà de son arbre manquera les vers les plus juteux.,The bird that never explores beyond its tree will miss the juiciest worms.,proverbs,,,,
,Akanyâro mū nyama ní iháha.,L'oppression place quelqu'un là où il ne convient pas.,Oppression places one where they don't fit.,proverbs,,,,
,Akanániye umugabo kananira n'úyŭndi.,Ce qui a échoué pour un homme pourrait échouer pour un autre également.,What failed for one man might fail for another as well.,proverbs,,,,
,Akarago karyāná kamenya nyené ko.,"Là où d'autres trébuchent, les expérimentés marchent avec aisance.","Where others stumble, the experienced walk with ease.",proverbs,,,,
,Akarorero: Uyu mugabo ni munini(munini ni ingereka),Exemple : Cet homme est grand (grand est un adjectif),Example: This man is tall (tall is an adjective),general,,,,
,Akaryâna ntíkaryāmánwa.,Ne te repose pas tant que le trouble n'est pas apaisé.,Don't rest until the disturbance is put to rest.,proverbs,,,,
,Akaryôshe ntígahorá mw'ītáma.,Toutes les bonnes choses ont une fin.,All good things must come to an end.,proverbs,,,,
,Akaryôshe ntíkaryá umwé.,"Rien de délicieux n'est mangé par un seul, car la joie est mieux partagée et multipliée en compagnie.","No delicious thing is eaten by only one, for joy is best shared and multiplied in company.",proverbs,,,,
,Akarênganyo sí ak'ŭbu.,L'injustice a toujours existé.,Injustice has always been.,proverbs,,,,
,Akarí kure karya nyené amaguru.,Les courageux s'aventurent vers l'inatteignable et trouvent des récompenses.,The brave venture towards the unreachable and find rewards.,proverbs,,,,
,Akarí kure ntíkabá indâro.,Une maison éloignée n'est pas un vrai foyer.,A distant house isn't a true home.,proverbs,,,,
,Akarí mu rugό ní ko karuvúna.,Un défaut ignoré au sein du groupe finira par le dévaster.,A flaw ignored within the group will eventually devastate it.,proverbs,,,,
,Akarí mū nda y'íngoma kamenywa n'úwayíkanye.,Celui qui a fait le tambour sait ce qu'il y a à l'intérieur.,The one who made the drum knows what is inside.,proverbs,,,,
,Akarí mū nda y'úmugabo gaserurwa n'ákarí mū nda y'úmubĭndi.,"Quand le vin est dedans, les secrets sortent.","When the wine is in, the secrets come out.",proverbs,,,,
,Akarí mū ndyá ní yo ndyá.,L'estomac vide n'a pas de choix.,The empty stomach has no choice.,proverbs,,,,
,Akarími kakurésha sí ko kakurŏngora.,Tous les prétendants ne sont pas destinés à être des époux.,Not every suitor is destined to be a spouse.,proverbs,,,,
,Akarúta akăndi karakamira.,"Dans la cour de la force, les puissants ont le pouvoir.","In the court of strength, the powerful hold sway.",proverbs,,,,
,Akarēnge kajá iyó kavūká ntígahāndwá.,"En rentrant chez soi après un long voyage, les difficultés rencontrées semblent insignifiantes.","When returning home after a long trip, the hardships faced seem insignificant.",proverbs,,,,
,Akarēnge mu gusēzera kānka gukānda isí.,Les adieux ne sont jamais faciles.,Farewells are never easy.,proverbs,,,,
,Akatáretsé kaba gásema.,L'incapacité d'une personne à rompre avec les mauvaises habitudes conduit à des problèmes pour elle et pour les autres.,A person's unwillingness to break bad habits leads to trouble for them and others.,proverbs,,,,
,Akatári nk'ákăndi aba arí ishano.,Le mouton noir du troupeau est souvent vu comme le fauteur de troubles.,The black sheep in the flock is often seen as the troublemaker.,proverbs,,,,
,Akatávugá ntígahēndá akavúga.,"Une pierre peut être ancienne, mais elle n'a pas la sagesse d'un esprit vivant.","A stone may be ancient, but it holds no wisdom compared to a living mind.",proverbs,,,,
,Akayabu gahiga imbeba.,Le chat chasse une souris.,The cat chases a mouse.,general,,,,
,Akayabu karahiga imbeba.,Le chat chasse une souris.,The cat chases a mouse.,general,,,,
